id;title;like;vote_average
604;Matrix Reloaded;0;6.7
605;Matrix Revolutions;0;6.4
606;Memorias de África;;7.0
607;Hombres de negro;;6.9
608;Hombres de negro II;0;6.0
609;Poltergeist (Fenómenos extraños);;7.0
612;Munich;;6.9
613;El hundimiento;;7.7
615;La pasión de Cristo;1;6.9
616;El último samurái;1;7.3
617;Juegos salvajes;;6.3
619;El guardaespaldas;;6.1
621;Grease;1;7.2
622;La novena puerta;;6.3
627;Trainspotting;1;7.8
628;Entrevista con el vampiro;;7.2
629;Sospechosos habituales;;8.1
630;El mago de Oz;1;7.4
634;El diario de Bridget Jones;;
639;Cuando Harry encontró a Sally;;
640;Atrápame si puedes;;7.7
641;Réquiem por un sueño;;
642;Dos hombres y un destino;;7.4
644;A.I. Inteligencia Artificial;;6.8
646;007: contra el Dr. No;0;6.9
650;Los chicos del barrio;;7.4
652;Troya;;6.9
654;La ley del silencio;;8.0
657;007: Desde Rusia con amor;0;6.9
658;007: James Bond contra Goldfinger;0;7.2
660;007: Operación Trueno;0;6.5
663;Saw IV;0;5.9
664;Twister;;6.1
666;Estación central de Brasil;;7.6
667;007: Sólo se vive dos veces;0;6.5
668;007: Al servicio secreto de su Majestad;0;6.5
670;Oldboy;;8.0
671;Harry Potter y la piedra filosofal;1;7.5
672;Harry Potter y la cámara secreta;1;7.4
673;Harry Potter y el prisionero de Azkaban;1;7.7
674;Harry Potter y el Cáliz de Fuego;1;7.5
675;Harry Potter y la Orden del Fénix;1;7.4
676;Pearl Harbor;1;6.6
679;Aliens: El regreso;1;7.7
680;Pulp Fiction;1;8.3
681;007: Diamantes para la eternidad;0;6.3
682;007: El hombre de la pistola de oro;0;6.3
686;Contact;;7.2
687;Pena de muerte;;7.3
688;Los puentes de Madison;1;7.3
691;007: La espía que me amó;0;6.6
692;Pink Flamingos;;6.2
693;Los padres de él;;6.1
694;El resplandor;;8.1
698;007: Moonraker;0;5.9
699;007: Sólo para sus ojos;0;6.3
700;007: Octopussy;0;6.2
702;Un tranvía llamado deseo;;7.6
703;Annie Hall;;7.8
704;Qué noche la de aquel día;;7.3
707;007: Panorama para matar;0;6.0
708;007: Alta tensión;0;6.2
709;007: Licencia para matar;0;5.9
710;007: GoldenEye;0;6.6
711;Descubriendo a Forrester;;7.0
712;Cuatro bodas y un funeral;;6.6
713;El piano;;7.1
714;;;6.0
744;Top Gun;;6.7
745;El sexto sentido;;7.7
746;El último emperador;1;7.4
747;Zombies party (Una noche... de muerte);;7.5
752;V de Vendetta;1;7.7
754;Cara a cara (Face/Off);;6.8
755;Abierto hasta el amanecer;;6.9
756;Fantasía;1;7.2
762;Los caballeros de la mesa cuadrada y sus locos seguidores;1;7.8
764;Posesión infernal;;7.3
765;Terroríficamente muertos;;7.6
766;El ejército de las tinieblas;;7.3
767;Harry Potter y el misterio del príncipe;1;
768;Desde el infierno;;6.6
769;Uno de los nuestros;;8.2
770;Lo que el viento se llevó;;7.7
771;Solo en casa;1;7.1
772;Solo en casa 2: Perdido en Nueva York;1;6.3
773;Pequeña Miss Sunshine;1;7.5
782;Gattaca;;7.5
783;Gandhi;;7.4
786;Casi famosos;;7.4
787;Sr. y Sra. Smith;0;6.5
788;Señora Doubtfire, papá de por vida;;7.0
790;La niebla;;6.4
792;Platoon;;7.5
794;La profecía;;7.2
795;City of Angels;;6.4
796;Crueles intenciones;;6.6
801;Good Morning, Vietnam;;7.1
802;Lolita;;7.3
805;La semilla del diablo;;
807;Seven;;8.1
808;Shrek;1;7.3
809;Shrek 2;1;6.7
810;Shrek Tercero;1;6.0
811;Naves misteriosas;;6.3
812;Aladdín;;7.4
813;Aterriza como puedas;;7.1
816;Austin Powers: Misterioso agente internacional;;6.5
817;Austin Powers: La espía que me achuchó;0;6.2
818;Austin Powers en Miembro de Oro;;
819;Sleepers;;7.3
820;J.F.K.: caso abierto;;7.5
821;¿Vencedores o vencidos? (El juicio de Nuremberg);;7.6
824;Moulin Rouge;1;7.4
826;El puente sobre el río Kwai;;7.7
834;Underworld: Evolution;1;6.4
837;Videodrome;;7.1
838;American Graffiti;;6.9
840;Encuentros en la tercera fase;;7.2
841;Dune;;6.5
844;2046;;6.9
846;Expediente X: enfréntate al futuro;;6.6
848;El dragon del lago de fuego;;6.5
849;Krull;;5.8
850;Historias de Navidad;;7.4
853;Enemigo a las puertas;;7.2
854;La máscara;0;6.6
855;Black Hawk derribado;;7.2
857;Salvar al soldado Ryan;1;7.9
859;Las amistades peligrosas;;7.0
860;Juegos de guerra;;7.0
861;Desafío total;1;7.1
862;Toy Story;1;7.7
